,COST,JNJ,MSFT,PG,V
2015-01-01,554.5,387.91,350.81,204.94,417.24
2015-01-02,552.826,386.38599999999997,350.303,204.45999999999998,415.791
2015-01-03,552.826,386.38599999999997,350.303,204.45999999999998,415.791
2015-01-04,552.826,386.38599999999997,350.303,204.45999999999998,415.791
2015-01-05,548.0642581648523,384.3489860031104,349.58775894245724,203.6528460342146,411.8667387247278
2015-01-06,548.0059807153966,385.6542902021772,347.8274312597201,204.06599222395022,405.4357171073094
2015-01-07,548.7481865007776,385.42500314152403,349.862201881804,206.78819455676512,399.95900197511656
2015-01-08,550.7377305505443,383.7435021990668,349.6215413172628,205.90673618973557,398.0273013825816
2015-01-09,553.7054113853809,385.04745153934675,347.968078922084,206.3427153328149,397.3831109678071
2015-01-10,553.7054113853809,385.04745153934675,347.968078922084,206.3427153328149,397.3831109678071
2015-01-11,553.7054113853809,385.04745153934675,347.968078922084,206.3427153328149,397.3831109678071
2015-01-12,560.0528088727615,384.1948302923732,341.85233447943205,206.47208609510963,397.90887567956116
2015-01-13,562.223966210933,384.0643812046612,340.7236341356024,204.03546026657673,400.48021297569284
2015-01-14,560.794776347653,383.9730668432628,339.4385438949217,205.4258221866037,412.8491490829849
2015-01-15,560.8863434433571,384.3021467902839,338.81798072644517,208.3880755306226,416.6984043580894
2015-01-16,561.0314404103499,381.91950275319874,339.7965865085116,210.5426528714358,415.7628830506626
2015-01-17,561.0314404103499,381.91950275319874,339.7965865085116,210.5426528714358,415.7628830506626
2015-01-18,561.0314404103499,381.91950275319874,339.7965865085116,210.5426528714358,415.7628830506626
2015-01-19,558.1660716341369,378.75177207519,341.84639062584677,211.57718496874412,414.4225021561078
2015-01-20,556.9402501438958,378.088240452633,342.9724734380927,207.04202947812087,414.1517515092754
2015-01-21,555.647175100727,377.71676831684306,343.16073140666487,204.1734206346846,412.50722605649275
2015-01-22,556.6650225705089,379.1937378217901,343.5145119846654,203.2183944442792,411.7220582395449
2015-01-23,556.6815157993561,380.407616475253,342.58015838926576,200.89387611099542,417.0344407676814
2015-01-24,556.6815157993561,380.407616475253,342.58015838926576,200.89387611099542,417.0344407676814
2015-01-25,556.6815157993561,380.407616475253,342.58015838926576,200.89387611099542,417.0344407676814
2015-01-26,560.7165784124093,380.56735995491726,348.40745618587584,203.92939269995557,423.1116845774724
2015-01-27,562.4396048886865,380.6101519684421,348.9632193301131,207.24757488996892,425.5171792042306
2015-01-28,561.6957234220806,379.8931063779095,348.28125353107913,209.20130242297824,428.5960254429614
2015-01-29,560.0710063954564,381.4371744645366,356.0448774717554,208.22891169608477,430.007217810073
2015-01-30,557.6047044768195,382.3380221251756,357.0514142302287,208.75423818725932,431.13605246705106
2015-01-31,557.6047044768195,382.3380221251756,357.0514142302287,208.75423818725932,431.13605246705106
2015-02-01,557.6047044768195,382.3380221251756,357.0514142302287,208.75423818725932,431.13605246705106
2015-02-02,557.7238159184278,383.9392559703503,354.86723962825573,214.4116698261741,428.2965256550521
2015-02-03,558.6676711428994,384.7014791792452,353.758067739779,213.98516887832184,428.7895679585365
2015-02-04,558.2123698000296,385.56203542547166,351.9886474178453,213.90561821482527,428.52269757097554
2015-02-05,556.5586588600206,386.4674247978302,351.9080531924917,213.13593275037766,426.25088829968286
2015-02-06,554.9030612020144,386.8521973584811,352.29563723474416,210.72215292526437,420.12162180977793
2015-02-07,554.9030612020144,386.8521973584811,352.29563723474416,210.72215292526437,420.12162180977793
2015-02-08,554.9030612020144,386.8521973584811,352.29563723474416,210.72215292526437,420.12162180977793
2015-02-09,556.8192068309346,389.56190310102494,352.279010220089,208.5796243442701,419.9948931271444
2015-02-10,558.8324447816542,389.63333217071744,348.91930715406227,206.65373704098906,418.1034251890011
2015-02-11,563.2807113471579,389.5753325195022,342.83251500784354,205.80961592869232,416.6503976323007
2015-02-12,565.9444979430104,388.4487327636515,339.54676050549045,207.7297311500846,419.59327834261046
2015-02-13,565.2651485601073,387.09011293455603,342.3887323538433,206.6138118050592,423.49529483982735
2015-02-14,565.2651485601073,387.09011293455603,342.3887323538433,206.6138118050592,423.49529483982735
2015-02-15,565.2651485601073,387.09011293455603,342.3887323538433,206.6138118050592,423.49529483982735
2015-02-16,563.7510823578799,384.41665433367456,347.2555757346318,207.49383740145458,424.5472568119141
2015-02-17,562.3557576505159,384.07265803357217,348.44790301424223,207.6816861810182,430.12807976833983
2015-02-18,563.8540303553611,384.7888606235005,345.43653210996956,208.96518032671273,433.8996558378379
2015-02-19,563.4598212487527,384.4862024364503,342.9535724769787,210.17562622869892,434.2897590864865
2015-02-20,562.4398748741269,384.6673417055152,341.02050073388506,212.51693836008923,433.0958313605405
2015-02-21,562.4398748741269,384.6673417055152,341.02050073388506,212.51693836008923,433.0958313605405
2015-02-22,562.4398748741269,384.6673417055152,341.02050073388506,212.51693836008923,433.0958313605405
2015-02-23,558.0729037042388,384.5752693701271,338.87407737437417,212.6443388141689,428.9733594971468
2015-02-24,556.6200325929672,384.5586885590889,337.45385416206193,213.6990371699182,425.8763516480027
2015-02-25,556.443022815077,383.79108199136226,338.05569791344334,215.18132601894274,423.7084461536018
2015-02-26,556.9251159705539,384.6097573939536,338.6839885394103,216.38392821325988,422.03491230752127
2015-02-27,557.0495811793877,385.2998301757675,341.6407919775872,217.1807497492819,420.09543861526487
2015-02-28,557.0495811793877,385.2998301757675,341.6407919775872,217.1807497492819,420.09543861526487
