,COST,JNJ,MSFT,PG,V
2015-01-01,554.5,387.91,350.81,204.94,417.24
2015-01-02,548.92,382.83,349.12,203.34,412.41
2015-01-03,544.310432466165,379.4613977502031,349.81031866800106,202.4986768836062,412.51290506044006
2015-01-04,541.1843424210517,378.2665947504741,351.8185213364469,202.37580161730347,415.31122291880473
2015-01-05,542.62,382.02,348.77,202.73,407.38
2015-01-06,547.87,388.7,343.72,205.03,390.43
2015-01-07,550.48,384.89,354.61,213.14,387.18
2015-01-08,555.38,379.82,349.06,203.85,393.52
2015-01-09,560.63,388.09,344.11,207.36,395.88
2015-01-10,564.0294643031455,390.7585042922799,339.4401167870385,211.36659490644143,396.8441899192229
2015-01-11,565.6108797819658,385.84756120887704,334.99584899831024,212.20630924157786,397.3839869069919
2015-01-12,567.31,383.22,334.86,206.62,398.51
2015-01-13,567.29,383.76,338.09,198.35,406.48
2015-01-14,557.46,383.76,336.44,208.67,441.71
2015-01-15,561.1,385.07,337.37,215.3,425.68
2015-01-16,561.37,376.36,342.08,215.57,413.58
2015-01-17,559.4772298215854,371.75228126216757,344.30782089327334,217.6056881968794,409.3962117940386
2015-01-18,556.604949630453,373.12463493759543,343.66258459503774,220.72266319001145,410.9051088162504
2015-01-19,554.89,375.13,344.19,212.76,412.89
2015-01-20,554.08,376.54,345.6,196.46,413.52
2015-01-21,552.63,376.85,343.6,197.48,408.67
2015-01-22,559.04,382.64,344.34,200.99,409.89
2015-01-23,556.72,383.24,340.4,195.47,429.43
2015-01-24,556.991775054628,382.3148110027947,342.93718018227514,194.46040980626148,438.1661973266892
2015-01-25,561.5075099246475,381.05555764936236,352.02164153087585,199.8304177211987,433.32733083177897
2015-01-26,565.33,380.75,355.07,207.4,430.06
2015-01-27,566.46,380.71,350.26,214.99,431.13
2015-01-28,559.96,378.22,346.69,213.76,435.78
2015-01-29,556.28,385.04,374.16,205.96,433.3
2015-01-30,551.85,384.44,359.4,209.98,433.77
2015-01-31,550.9612338807093,383.85350519303705,348.90975204910603,216.64066090779355,431.0451860191587
2015-02-01,553.9961456029312,384.8389482167196,350.83339643691454,222.65433825475785,425.1936044654532
2015-02-02,557.86,385.77,352.37,220.88,425.05
2015-02-03,560.87,386.48,351.17,212.99,429.94
2015-02-04,557.15,387.57,347.86,213.72,427.9
2015-02-05,552.7,388.58,351.72,211.34,420.95
2015-02-06,551.04,387.75,353.2,205.09,405.82
2015-02-07,552.1286633161956,389.1097383588329,354.9389675638075,203.49174457115691,404.1956379005054
2015-02-08,555.522110561137,392.5151948904037,356.6866103894432,206.58488286906285,416.23349548217277
2015-02-09,559.01,392.66,352.26,206.13,419.85
2015-02-10,563.53,389.8,341.08,202.16,413.69
2015-02-11,573.66,389.44,328.63,203.84,413.26
2015-02-12,572.16,385.82,331.88,212.21,426.46
2015-02-13,563.68,383.92,349.02,204.01,432.6
2015-02-14,560.5057031246349,382.4534022545812,357.19432826954903,201.06361109789805,429.4140014593946
2015-02-15,562.9956391558666,381.2128040765899,354.56425007257593,206.0516946812876,420.4762798989641
2015-02-16,562.02,381.36,352.82,208.5,425.75
2015-02-17,559.1,383.27,351.23,208.12,443.15
2015-02-18,567.35,386.46,338.41,211.96,442.7
2015-02-19,562.54,383.78,337.16,213.0,435.2
2015-02-20,560.06,385.09,336.51,217.98,430.31
2015-02-21,557.6821211839317,385.6500580259103,336.71411024381916,218.3055952735215,428.1200372357352
2015-02-22,554.7436794697373,384.6951375289346,337.737021317334,213.70017541981466,427.6617328282408
2015-02-23,553.08,384.47,336.42,212.79,424.26
2015-02-24,553.23,384.52,334.14,216.16,418.65
2015-02-25,556.03,382.0,339.46,218.64,418.65
2015-02-26,558.05,386.52,340.15,219.19,418.13
2015-02-27,557.34,386.91,348.54,219.04,415.57
2015-02-28,555.7870730709158,384.80227331417007,350.35405902998446,221.20837512469063,410.7734149149572
2015-03-01,554.4086101320729,381.8962466819204,344.6464274647497,225.41227368409878,404.4303053232822
2015-03-02,557.13,384.43,343.03,227.07,400.84
2015-03-03,562.88,391.49,346.0,224.06,404.02
2015-03-04,562.67,391.95,345.5,214.84,427.59
2015-03-05,561.34,388.47,344.36,229.81,437.2
2015-03-06,552.44,387.5,346.76,231.44,427.19
2015-03-07,545.7822904135099,387.25623256559294,347.6868492791784,230.5146002857644,419.44261203753814
2015-03-08,543.9278137054348,387.3513444603933,346.2512430365675,229.57059984367172,417.10250153548054
2015-03-09,550.81,388.3,342.89,225.17,416.62
2015-03-10,563.64,388.09,339.3,219.01,415.85
2015-03-11,564.69,378.79,342.96,221.69,409.99
2015-03-12,566.63,382.89,343.5,219.56,418.68
2015-03-13,564.38,385.69,346.83,221.84,413.66
2015-03-14,562.9525547521865,388.33987222158186,345.9992132794116,224.61099211199698,405.3664491423571
2015-03-15,563.0004507528506,391.34314467495153,341.6380610116669,226.40014017275013,398.28435916222526
2015-03-16,561.91,393.22,346.08,224.5,402.97
2015-03-17,560.82,392.83,355.96,221.74,418.02
2015-03-18,566.41,387.6,346.43,231.02,422.45
2015-03-19,565.55,390.88,352.83,222.59,407.08
2015-03-20,566.42,391.19,352.6,230.68,404.31
2015-03-21,568.301972288388,390.20902869079475,349.57653739892515,232.7758409392914,409.5404560331408
2015-03-22,570.2873621955205,388.96809245547485,345.68407554958554,226.69491566805883,418.5500141137304
2015-03-23,569.54,389.48,343.34,229.53,416.64
