,COST,JNJ,MSFT,PG,V
2015-01-01,554.5,387.91,350.81,204.94,417.24
2015-01-02,548.92,382.83,349.12,203.34,412.41
2015-01-03,546.8199999999999,382.56,349.00333333333333,203.13666666666666,410.73333333333335
2015-01-04,544.72,382.28999999999996,348.88666666666666,202.93333333333334,409.0566666666667
2015-01-05,542.62,382.02,348.77,202.73,407.38
2015-01-06,547.87,388.7,343.72,205.03,390.43
2015-01-07,550.48,384.89,354.61,213.14,387.18
2015-01-08,555.38,379.82,349.06,203.85,393.52
2015-01-09,560.63,388.09,344.11,207.36,395.88
2015-01-10,562.8566666666667,386.46666666666664,341.0266666666667,207.11333333333334,396.75666666666666
2015-01-11,565.0833333333333,384.84333333333336,337.9433333333333,206.86666666666667,397.6333333333333
2015-01-12,567.31,383.22,334.86,206.62,398.51
2015-01-13,567.29,383.76,338.09,198.35,406.48
2015-01-14,557.46,383.76,336.44,208.67,441.71
2015-01-15,561.1,385.07,337.37,215.3,425.68
2015-01-16,561.37,376.36,342.08,215.57,413.58
2015-01-17,559.21,375.95,342.7833333333333,214.63333333333333,413.34999999999997
2015-01-18,557.05,375.54,343.4866666666667,213.69666666666666,413.12
2015-01-19,554.89,375.13,344.19,212.76,412.89
2015-01-20,554.08,376.54,345.6,196.46,413.52
2015-01-21,552.63,376.85,343.6,197.48,408.67
2015-01-22,559.04,382.64,344.34,200.99,409.89
2015-01-23,556.72,383.24,340.4,195.47,429.43
2015-01-24,559.59,382.41,345.28999999999996,199.44666666666666,429.64
2015-01-25,562.46,381.58,350.18,203.42333333333335,429.85
2015-01-26,565.33,380.75,355.07,207.4,430.06
2015-01-27,566.46,380.71,350.26,214.99,431.13
2015-01-28,559.96,378.22,346.69,213.76,435.78
2015-01-29,556.28,385.04,374.16,205.96,433.3
2015-01-30,551.85,384.44,359.4,209.98,433.77
2015-01-31,553.8533333333334,384.8833333333333,357.0566666666667,213.61333333333332,430.86333333333334
2015-02-01,555.8566666666667,385.32666666666665,354.7133333333333,217.24666666666667,427.95666666666665
2015-02-02,557.86,385.77,352.37,220.88,425.05
2015-02-03,560.87,386.48,351.17,212.99,429.94
2015-02-04,557.15,387.57,347.86,213.72,427.9
2015-02-05,552.7,388.58,351.72,211.34,420.95
2015-02-06,551.04,387.75,353.2,205.09,405.82
2015-02-07,553.6966666666666,389.38666666666666,352.88666666666666,205.43666666666667,410.49666666666667
2015-02-08,556.3533333333334,391.02333333333337,352.5733333333333,205.78333333333333,415.17333333333335
2015-02-09,559.01,392.66,352.26,206.13,419.85
2015-02-10,563.53,389.8,341.08,202.16,413.69
2015-02-11,573.66,389.44,328.63,203.84,413.26
2015-02-12,572.16,385.82,331.88,212.21,426.46
2015-02-13,563.68,383.92,349.02,204.01,432.6
2015-02-14,563.1266666666667,383.06666666666666,350.28666666666663,205.50666666666666,430.31666666666666
2015-02-15,562.5733333333333,382.21333333333337,351.55333333333334,207.00333333333333,428.03333333333336
2015-02-16,562.02,381.36,352.82,208.5,425.75
2015-02-17,559.1,383.27,351.23,208.12,443.15
2015-02-18,567.35,386.46,338.41,211.96,442.7
2015-02-19,562.54,383.78,337.16,213.0,435.2
2015-02-20,560.06,385.09,336.51,217.98,430.31
2015-02-21,557.7333333333333,384.8833333333333,336.48,216.25,428.29333333333335
2015-02-22,555.4066666666666,384.6766666666667,336.45,214.51999999999998,426.27666666666664
2015-02-23,553.08,384.47,336.42,212.79,424.26
2015-02-24,553.23,384.52,334.14,216.16,418.65
2015-02-25,556.03,382.0,339.46,218.64,418.65
2015-02-26,558.05,386.52,340.15,219.19,418.13
2015-02-27,557.34,386.91,348.54,219.04,415.57
2015-02-28,557.27,386.08333333333337,346.7033333333333,221.71666666666667,410.65999999999997
2015-03-01,557.2,385.25666666666666,344.8666666666667,224.39333333333332,405.75
2015-03-02,557.13,384.43,343.03,227.07,400.84
2015-03-03,562.88,391.49,346.0,224.06,404.02
2015-03-04,562.67,391.95,345.5,214.84,427.59
2015-03-05,561.34,388.47,344.36,229.81,437.2
2015-03-06,552.44,387.5,346.76,231.44,427.19
2015-03-07,551.8966666666666,387.76666666666665,345.46999999999997,229.35,423.6666666666667
2015-03-08,551.3533333333334,388.03333333333336,344.18,227.26,420.1433333333333
2015-03-09,550.81,388.3,342.89,225.17,416.62
2015-03-10,563.64,388.09,339.3,219.01,415.85
2015-03-11,564.69,378.79,342.96,221.69,409.99
2015-03-12,566.63,382.89,343.5,219.56,418.68
2015-03-13,564.38,385.69,346.83,221.84,413.66
2015-03-14,563.5566666666666,388.2,346.58,222.72666666666666,410.0966666666667
2015-03-15,562.7333333333333,390.71000000000004,346.33,223.61333333333334,406.53333333333336
2015-03-16,561.91,393.22,346.08,224.5,402.97
2015-03-17,560.82,392.83,355.96,221.74,418.02
2015-03-18,566.41,387.6,346.43,231.02,422.45
2015-03-19,565.55,390.88,352.83,222.59,407.08
2015-03-20,566.42,391.19,352.6,230.68,404.31
2015-03-21,567.4599999999999,390.62,349.5133333333333,230.29666666666668,408.42
2015-03-22,568.5,390.05,346.4266666666667,229.91333333333333,412.53
2015-03-23,569.54,389.48,343.34,229.53,416.64
2015-03-24,565.22,392.22,342.92,240.54,407.05
2015-03-25,557.6,396.51,341.52,240.57,416.52
2015-03-26,558.77,394.11,330.15,238.87,408.91
2015-03-27,557.2,388.48,344.35,231.35,393.67
