"day","symbol","asset_type","open","high","low","close","volume"
"2024-12-31","BTC","crypto","53759.79000000","57820.84000000","53759.79000000","57125.50000000","14218"
"2024-12-31","COST","stock","573.20","569.92","570.99","573.20","2624207"
"2024-12-31","ETH","crypto","2481.07000000","2654.76000000","2481.07000000","2603.72000000","480781"
"2024-12-31","JNJ","stock","272.11","272.11","278.42","282.44","8187091"
"2024-12-31","MSFT","stock","154.59","151.36","152.80","154.59","3007325"
"2024-12-31","PG","stock","65.10","65.10","66.15","66.33","6953575"
"2024-12-31","V","stock","194.06","194.06","197.50","198.93","1178681"
"2024-12-30","BTC","crypto","55003.41000000","58242.35000000","54316.94000000","57827.88000000","1062126"
"2024-12-30","COST","stock","574.09","573.72","573.98","574.31","1785743"
"2024-12-30","ETH","crypto","2605.22000000","2605.22000000","2442.76000000","2485.35000000","536052"
"2024-12-30","JNJ","stock","276.37","262.27","269.04","276.37","13046934"
"2024-12-30","MSFT","stock","155.83","149.10","154.26","156.97","801783"
"2024-12-30","PG","stock","65.67","65.16","65.18","65.67","5371925"
"2024-12-30","V","stock","190.75","190.75","193.49","199.80","4432618"
"2024-12-27","BTC","crypto","51437.93000000","55241.18000000","48629.33000000","52541.97000000","620680"
"2024-12-27","COST","stock","575.86","568.45","571.65","575.86","11634429"
"2024-12-27","ETH","crypto","2658.84000000","2677.17000000","2520.72000000","2580.50000000","11265689"
"2024-12-27","JNJ","stock","282.58","268.65","274.89","282.58","2776650"
"2024-12-27","MSFT","stock","162.27","153.75","155.56","162.27","5182335"
"2024-12-27","PG","stock","65.58","65.58","65.81","65.83","8970443"
"2024-12-27","V","stock","192.25","190.64","192.05","193.57","1136785"
"2024-12-26","BTC","crypto","50275.46000000","53782.17000000","49023.91000000","52833.72000000","919481"
"2024-12-26","COST","stock","567.66","567.66","576.72","580.23","2174433"
"2024-12-26","ETH","crypto","2611.80000000","2701.19000000","2549.23000000","2635.78000000","2367850"
"2024-12-26","JNJ","stock","275.14","275.14","280.86","280.97","17450896"
"2024-12-26","MSFT","stock","162.60","161.89","163.18","163.87","2435375"
"2024-12-26","PG","stock","64.85","64.85","65.57","65.61","6483500"
"2024-12-26","V","stock","191.70","191.70","193.61","194.78","2471193"
"2024-12-25","BTC","crypto","53326.39000000","54123.00000000","46401.83000000","50268.88000000","7287016"
"2024-12-25","COST","stock","574.51","574.51","575.84","578.28","1920344"
"2024-12-25","ETH","crypto","2650.29000000","2698.88000000","2473.53000000","2554.73000000","3236628"
"2024-12-25","JNJ","stock","272.38","272.38","274.01","274.27","968931"
"2024-12-25","MSFT","stock","158.87","158.87","164.53","164.73","4449185"
"2024-12-25","PG","stock","66.03","64.73","64.93","66.03","1892297"
"2024-12-25","V","stock","199.78","189.74","192.95","199.78","1160742"
"2024-12-24","BTC","crypto","56124.40000000","58109.00000000","47079.76000000","52690.46000000","1001802"
"2024-12-24","COST","stock","569.31","564.78","573.32","575.32","5913872"
"2024-12-24","ETH","crypto","2429.41000000","2719.50000000","2396.67000000","2619.03000000","831094"
"2024-12-24","JNJ","stock","270.91","270.42","272.56","273.53","1988644"
"2024-12-24","MSFT","stock","161.92","157.13","157.69","161.92","2790250"
"2024-12-24","PG","stock","66.69","65.77","65.93","66.69","7039710"
"2024-12-24","V","stock","195.97","195.97","201.82","203.13","8622075"
"2024-12-23","BTC","crypto","56870.80000000","61289.22000000","55374.60000000","56564.93000000","497540"
"2024-12-23","COST","stock","568.43","567.27","569.26","580.97","1988973"
"2024-12-23","ETH","crypto","2504.60000000","2504.60000000","2271.39000000","2450.72000000","1893200"
"2024-12-23","JNJ","stock","277.80","264.44","266.94","277.80","1750863"
"2024-12-23","MSFT","stock","161.03","161.03","162.52","162.66","958472"
"2024-12-23","PG","stock","65.57","65.57","66.72","67.51","12678124"
"2024-12-23","V","stock","191.97","191.97","200.86","201.15","1916651"
"2024-12-20","BTC","crypto","59483.34000000","65801.25000000","59483.34000000","63352.56000000","1407154"
"2024-12-20","COST","stock","561.94","561.94","565.14","574.83","1530620"
"2024-12-20","ETH","crypto","2480.61000000","2480.61000000","2254.88000000","2305.41000000","1951113"
"2024-12-20","JNJ","stock","280.89","276.35","277.73","284.77","4077277"
"2024-12-20","MSFT","stock","165.95","159.69","160.55","165.95","16809520"
"2024-12-20","PG","stock","66.56","64.99","65.79","66.76","29536028"
"2024-12-20","V","stock","191.91","189.01","190.55","191.91","3572325"
"2024-12-19","BTC","crypto","63099.83000000","63133.44000000","56841.58000000","58258.59000000","1291038"
"2024-12-19","COST","stock","578.36","564.07","564.93","578.36","4797023"
"2024-12-19","ETH","crypto","2333.26000000","2553.22000000","2248.71000000","2395.22000000","441026"
"2024-12-19","JNJ","stock","268.06","268.06","281.81","282.23","3044271"
"2024-12-19","MSFT","stock","166.35","164.27","164.65","166.35","483146"
"2024-12-19","PG","stock","65.30","65.30","66.31","66.32","2427668"
"2024-12-19","V","stock","197.03","183.62","189.91","197.03","13451272"
"2024-12-18","BTC","crypto","60055.26000000","65582.44000000","55669.32000000","60164.20000000","159191"
"2024-12-18","COST","stock","570.35","565.49","574.10","586.31","4595514"
"2024-12-18","ETH","crypto","2355.66000000","2363.39000000","2069.08000000","2313.21000000","2127375"
"2024-12-18","JNJ","stock","255.75","255.75","269.91","270.55","569263"
"2024-12-18","MSFT","stock","169.65","167.90","167.94","169.65","1474961"
"2024-12-18","PG","stock","65.60","65.19","65.28","65.60","470513"
"2024-12-18","V","stock","190.20","189.00","193.91","197.20","3196897"
"2024-12-17","BTC","crypto","64882.17000000","64882.17000000","58208.27000000","60410.34000000","1017035"
"2024-12-17","COST","stock","565.07","562.64","565.23","567.94","16252541"
"2024-12-17","ETH","crypto","2365.26000000","2376.02000000","2245.79000000","2323.32000000","902739"
"2024-12-17","JNJ","stock","268.22","251.97","259.46","268.22","1333146"
"2024-12-17","MSFT","stock","168.11","168.11","169.45","169.77","4526687"
"2024-12-17","PG","stock","65.30","65.30","65.63","65.79","558945"
"2024-12-17","V","stock","195.52","188.62","191.37","195.52","682730"
"2024-12-16","BTC","crypto","67377.51000000","72691.98000000","62536.39000000","63340.00000000","3327196"
"2024-12-16","COST","stock","549.62","549.62","564.67","565.25","319624"
"2024-12-16","ETH","crypto","2301.49000000","2402.15000000","2259.31000000","2313.14000000","11821948"
"2024-12-16","JNJ","stock","269.82","266.84","268.12","269.82","3436413"
"2024-12-16","MSFT","stock","172.19","164.05","167.42","172.19","1284440"
"2024-12-16","PG","stock","64.24","64.24","65.18","65.36","733431"
"2024-12-16","V","stock","202.06","194.57","196.77","202.06","18605514"
"2024-12-13","BTC","crypto","64877.88000000","68244.27000000","60714.08000000","65422.38000000","1326474"
"2024-12-13","COST","stock","558.40","555.62","555.77","558.40","4735657"
"2024-12-13","ETH","crypto","2436.64000000","2490.70000000","2300.78000000","2371.90000000","1003679"
"2024-12-13","JNJ","stock","274.90","268.75","268.76","274.90","647033"
"2024-12-13","MSFT","stock","170.22","170.22","171.81","171.94","4996051"
"2024-12-13","PG","stock","64.58","64.12","64.19","64.58","2148865"
"2024-12-13","V","stock","207.68","203.26","203.51","207.68","2391232"
"2024-12-12","BTC","crypto","56766.16000000","69476.98000000","56766.16000000","64396.06000000","5090451"
"2024-12-12","COST","stock","566.83","545.03","556.34","570.30","5226919"
"2024-12-12","ETH","crypto","2425.13000000","2525.47000000","2425.13000000","2470.16000000","1450298"
"2024-12-12","JNJ","stock","264.47","264.47","273.96","274.25","3509844"
"2024-12-12","MSFT","stock","165.18","165.18","169.54","169.68","2823297"
"2024-12-12","PG","stock","63.86","63.86","64.59","64.80","1654791"
"2024-12-12","V","stock","200.67","200.67","207.52","207.57","3749428"
"2024-12-11","BTC","crypto","60303.05000000","61304.05000000","58006.34000000","58760.11000000","1954570"
"2024-12-11","COST","stock","573.04","565.04","565.99","573.04","1323227"
"2024-12-11","ETH","crypto","2616.82000000","2616.82000000","2329.98000000","2443.83000000","8145430"
"2024-12-11","JNJ","stock","269.38","262.59","263.39","269.38","2676526"
"2024-12-11","MSFT","stock","167.57","163.11","166.06","170.58","2364021"
"2024-12-11","PG","stock","64.42","63.49","63.94","64.42","4530970"
"2024-12-11","V","stock","213.24","199.07","201.69","213.24","1270291"
"2024-12-10","BTC","crypto","57718.31000000","64954.36000000","57718.31000000","59176.96000000","562413"
"2024-12-10","COST","stock","569.17","569.17","571.72","571.97","12856820"
"2024-12-10","ETH","crypto","2578.03000000","2709.55000000","2489.32000000","2517.01000000","2013282"
"2024-12-10","JNJ","stock","277.36","259.51","266.45","277.36","6068949"
"2024-12-10","MSFT","stock","168.95","166.59","168.43","171.06","4500858"
"2024-12-10","PG","stock","63.76","63.76","64.48","64.48","4752352"
"2024-12-10","V","stock","206.45","206.45","212.36","214.84","2245473"
"2024-12-09","BTC","crypto","60176.73000000","60821.01000000","55782.47000000","57986.50000000","558056"
"2024-12-09","COST","stock","574.11","565.80","571.11","574.11","4666144"
"2024-12-09","ETH","crypto","2647.30000000","2773.35000000","2533.85000000","2546.17000000","8292671"
"2024-12-09","JNJ","stock","277.61","273.55","275.15","277.61","2277462"
"2024-12-09","MSFT","stock","174.70","169.11","169.13","174.70","3209303"
"2024-12-09","PG","stock","63.49","63.49","63.65","63.67","1524551"
"2024-12-09","V","stock","202.53","202.53","205.14","206.10","754331"
"2024-12-06","BTC","crypto","58738.19000000","60130.16000000","56114.94000000","57043.05000000","3255362"
"2024-12-06","COST","stock","567.26","567.26","573.28","576.30","1478805"
"2024-12-06","ETH","crypto","2675.54000000","2953.38000000","2658.27000000","2684.25000000","908580"
"2024-12-06","JNJ","stock","282.66","273.21","275.01","282.66","2128932"
"2024-12-06","MSFT","stock","170.50","170.50","173.57","174.62","19836889"
"2024-12-06","PG","stock","62.83","62.83","63.42","63.46","5192873"
"2024-12-06","V","stock","205.92","193.62","201.97","205.92","1547542"
"2024-12-05","BTC","crypto","58582.30000000","63795.96000000","55585.33000000","60518.80000000","673076"
"2024-12-05","COST","stock","568.22","566.59","567.90","569.23","1678698"
"2024-12-05","ETH","crypto","2609.31000000","2720.30000000","2571.38000000","2696.27000000","439563"
"2024-12-05","JNJ","stock","284.27","278.16","279.64","284.27","2127556"
"2024-12-05","MSFT","stock","169.46","169.46","171.54","172.33","934855"
"2024-12-05","PG","stock","63.17","62.22","62.76","63.50","1422431"
"2024-12-05","V","stock","207.22","191.45","203.52","209.74","7159554"
